순서,용어명,내용
2714,"열교환기온도효율 (熱交換器 溫度效率, Heat Exc- hanger Effectiveness)",유체의 이동전후 온도를 쉽게 알 수 있을 때 열교환기의 열교환 효과 또는 능력을 용이하게 해석할 수 있는 비교방법으로서 실제 이동열량과 최대 가능 이동열량과의 비로 정의되며 다음과 같다.
2715,"열낙차 (熱落差, Heat Drop)",유체가 팽창하면서 일을 할때 팽창 전후 유체의 온도와 압력에 각각 대응하는 엔탈피 차를 말하는 것으로 유체 보유 열에너지중 유효하게 일로 변환된 부분을 가르킨다. 증기터빈의 경우 각단에 유입된 고온고압의 증기가 노즐(또는 고정날개)을 통과하여 팽창하는 과정에서 증기보유 열에너지는 속도에너지로 일부 변환되게 되는데 이 속도에너지에 의해 노즐 후단에 위치한 회전날개가 돌게 된다. 이과정에서 증기 엔탈피는 떨어지게 되는데 이 엔탈피차가 바로 회전날개구동력(일)에 해당된다.
2716,열매체(Heat Transfer Medium ),"열량운반의 매체로서 쓰여지는 유체로 취급할 수 있고 열적으로 안정되며, 매체 단위중량당의 열용량이 크고, 압력범위도 적당하며, 전열계수도 높다. 장치에 대한 부식성이 적고 불연성, 가격이 저렴, 무독한 것이 필요하다. 공업적으로는 연도가스, 열공기, 수증기, 열유, 보일러 dowtherm 등의 폐열회수에 이용되는 것도 있다."
2717,"열발생율 (熱發生率, Heat Liberation in Fur- nace/Heat Release Rate)",미분탄 또는 액체연료를 사용하는 보일러에서 단위시간당 연소실의 단위체적당 발생하는 열량을 말한다. 그러나 화격자 보일러의 경우에는 단위전열 면적당 발생 열량을 표시하며 이를 열 발생율과 구분하여 연소율(Rate of Combustion)이라 한다.
2718,"열방사판 (熱放射板, Cooling Wheel, Heat Sli- nger)",축에서 전도되는 열을 외기에 방산시키기 위하여 축에 붙이는 판이다.
2719,"열방지판 (熱防止板, Radiation Shield)",케이싱의 방사열에 의한 베어링의 과열을 방지하기 위해 설치된 판이다.
2720,"열변형시험 (熱變形試驗, Heat Indication Test)",터빈 로터를 가열하여 변형이 생겼는가를 확인하기 위하여 제작도중에 시행하는 시험이다.
2721,"열변환기 (熱變換機, Thermal Converter)",열전대를 이용하여 교류를 직류로 변환하는 장치이다. 이것을 이용한 열전 전력계가 있으며 교류전력의 원격측정에 사용된다.
2722,"열병합발전 (熱倂合發電, Cogeneration, Combi- ned Heat and Power Supply)",화력발전의 일종으로 발전과 아울러 증기터빈에서 추기 또는 배기되는 증기를 열원으로 하여 지역난방이나 산업용 공정열 등에 공급하는 발전이다.
2723,"열병합발전 (熱倂合發電, Combined Heat and Power, Cogeneration)",화력발전의 일종으로 발전과 아울러 증기 터빈에서 추기 또는 배기한 증기를 열원으로 하여 지역난방이나 산업용 열을 공급하는 발전방식이다.
2724,"열복사 (熱輻射, Heat Radiation)","물질 입자(분자, 원자, 이온 등)의 열 진동으로 인해 에너지를 복사하는 현상이다. 온도가 다른 두 물체 사이에서는 높은 온도의 물체로부터 낮은 온도의 물체로 에너지가 이동한다. 특히 1,000℃ 범위를 넘는 물체에서 현저하며 복사되는 전자파는 가시(可視) 범위의 것도 포함하게 된다. 보통 물체의 열복사 형태는 완전 복사체(흑체)의 복사에 가까운 것이 많다."
2725,"열부하추종운전 (熱負荷追從運轉, Heat Load Foll- ows Operation)","복합화력에서 열병합을 실시하는 경우 전기생산과 열공급을 동시에 실시할 때 발전기 출력이 열부하에 맞추어 제어되는 운전방식이다. 주로 겨울철에 운전되며 모드 1(Normal Operation Mode)과 모드 4(Steam Turbine Bypass Operation Mode) 방식이 이에 해당된다. 모드 1은 가스터빈, 배열회수보일러, 증기터빈(고압터빈만 운전되고 저압터빈은 정지상태) 및 지역난방 열교환기가 운전되는 방식이며, 모드 4는 가스터빈, 배열회수보일러, 지역난방열교환기가 운전되는 방식이다."
2726,열분해(Pyrolysis),"혐기상태와 고온 상태(200℃ 이상)에서 바이오매스를 열로 분해하는 것을 말한다. 이 분해에 의한 생성물로는 일반적으로 산, 알코올, 알데히드, 페놀 등의 복잡한 혼합액체가 얻어지는 데, 이 혼합액체는 적절한 공정에 의해 분리되어 진다. 고체형태의 생성물질은 목탄 등을 얻을 수 있는데 이는 제철공정에서 코크스의 대용으로 사용되기도 한다. 기체형태의 생성물질은 열량이 약 15MJ/㎥정도의 CO, 수소 메탄 그리고 그외 기체의 혼합상태로 얻어진다."
2727,열분해가스(Cracked Gases ),액체 또는 탄산수소가스를 열 또는 열-촉매 분해하여 생성된 가스연료
2728,열분해공정(Thermal Cracking ),고옥탄 가솔린 제조공정. 비등점 315-560℃의 가스오일을 원료로 사용하여 제올라이트 촉매상에서 반응시켜 가솔린을 얻는다. 최근에는 금속성분에 강인한 촉매들이 개발되어 잔사유를 원료로 사용하는 공정이 상업화 되었다. 이 공정에서 사용되는 반응기는 유동상(Fluidized Bed)반응기로서 고체촉매를 사용하는 기체반응에 사용되는 특수한 형태의 반응기이다. 따라서 접촉분해공정을 유동접촉분해(Fluidized Catalytic Cracking : FCC)라고 부른다.
2729,"열사이클 (熱사이클, Heat Cycle)","동작유체를 이용하여 열에너지를 일에너지로 전환시키기 위하여 반복과정을 거쳐나가는 순환적 상태변화로 증기터빈의 경우 물 또는 증기가 가열, 팽창, 냉각, 압축의 4단계로 상태변화 하는 사이클로 구성된다."
2730,"열소비율 (熱消費率, Heat rate)","열에너지를 이용하여 전력을 생산하는 발전설비에서 단위전력 1kW의 생산에 필요한 열량을 말하며 설비의 효율성을 나타내는 하나의 척도이다. 대상설비 및 사이클의 범위에 따라 터빈열소비율, 발전소열소비율 등으로 구분한다."
2731,"열손실 (熱損失, Heat Loss)",어떤 열설비 또는 열사이클에서 공급된 열량중 유효하게 이용되지 않는 열량을 말하며 사이클 형성상 불가피하게 발생하는 손실과 설비의 결함 또는 운전방법의 부적합요인으로 발생하는 손실로 분류된다.
2732,"열손실법 (熱損失法, Heat Loss Method)","보일러에 공급된 총입열과 보일러계통에서 발생된 각종 손실열량을 계산하고 그 차이를 유효하게 사용된 열량으로 간주하여 총입열에 대한 유효열량의 비를 보일러효율로 적용하는 효율계산방법이다. 보일러에서 주요손실은 미연탄소, 건배기가스, 연료중 수분, 연료중의 수소 생성물질인 수분, 연소용 공기중 수분, 분무용 증기, 일산화탄소, 표면복사 및 대류, 애시피트열, 연도분진의 현열, 미분기 배출석탄, 출입냉각수에 의한 손실 등이 있다. 연도분진의 현열, 미분기 배출석탄, 출입냉각수에 의한 손실 등이 있다."
2733,열수지(Heat Balance ),"열평형, 열정산, 공급열량과 그 사용상태를 명확히하여 열의 출입량 관계를 정산하는 것. 이것에 의하여 열의 분포상태를 알고, 열손실을 줄여 이것을 유효하게 이용하고 연료경제를 꾀하며 보일러 또는 공업요로의 효율을 증가시키기 위한 기초자료가 얻어진다. kcal/연료(kg 또는 N㎥) 혹은 백분율을 쓴다."
2734,"열에너지 (熱에너지, Thermal Energy)",열은 일로 전환될 수 있는 에너지의 한 형태이며 열역학적 성질이다. 따라서 물체가 가지고 있는 열을 어떤 계에서 요구하는 목적의 일로 변환하여 사용하고자 할 때 그 열을 열에너지라 한다.
2735,"열오염 (熱汚染, Thermal Pollution)","화력 및 원자력발전소, 철광, 화학, 석유, 펄프제지공업 등의 산업시설에서 배출되는 냉각수에 의해 인근수역의 수온이 상승되는 현상을 말하는데 발전소 냉각계통에 의한 배출구 수온상승은 통상 7 정도로 설계되지만 계절에 따라 다소의 차이가 있다. 수온 상승에 따라 주변해역 생태계의 일부 변화를 초래할 수도 있다."
2736,"열응력 (熱應力, Thermal Stress)",재료가 온도의 변화에 따라서 팽창 또는 수축할 때 발생하는 응력이다.
2737,"열이용율 (熱利用率, Fuel Heat Utilization Ratio)",공급된 연료의 화학적 에너지에 대하여 유용하게 사용된 에너지의 비율이며 연료의 화학적에너지는(연료사용량×고위발열량)으로 산출하며 유용에너지는 유효일과 사이클로 회수된 열량의 한계이다.
2738,"열적팽창 (熱積膨脹, Thermal Expansion)","높은 증기의 온도로 인하여 로타나 케이싱은 열적으로 팽창하게 되는 데 로타는 축추력 베어링, 케이싱은 저압터빈 케이싱의 길이반향 중앙지점이 각각 열팽창의 기준점이 된다."
2739,"열전달계수 (熱傳達係數, Coefficient of Heat Tran- sfer)",물체의 열적성질로 두 물체사이에 단위온도차가 있을때 단위면적에서 단위시간당 흐르는 열량의 크기를 나타내는 계수이다.
2740,"열전도 (熱傳導, Heat Conduction)",물체가 가지고 있는 열에너지가 접촉되어 있는 타물체의 온도차이에 의하여 이동되는 열전달 형태로 열의 이동비율은 두 물체의 온도차이와 재료의 열전도율에 따라 결정된다.
2741,"열전비 (熱傳比, Heat and Electric Power Ratio)","열병합발전소에서 연료 연소로 생산된 증기열량중 열에너지로 이용된 열량과 전력 생산에 이용된 열량과의 비이다. 열전비 = 열 이용열량(kcal/h) / 발생전력(kWh), 열전비는 열병합발전소에서 터빈 형식을 결정하는 중요한 요소로 작용한다."
2742,"열점(熱點,hot spot)","태양광발전 모듈에 조사되는 햇볕이 국부적으로 가려지거나, 태양전지의 특성 편차나 일부 태양전지의 결함과 특성 열화, 또는 결선 등의 모듈 회로 결함으로 인한 출력 불균형 때문에 역 바이어스가 발생하여 모듈 온도가 국부적으로 상승하는 현상."
2743,"열중성자 (熱中性子, Thermal Neutron)","중성자가 충분히 감속되어 감속재의 원자운동과 열평형에 도달한 운동에너지가 낮은 중성자를 말한다. 에너지가 높은 중성자(예를 들면 고속중성자 등)에 대비한 용어이며, 에너지가 높은 중성자는 물질중을 확산하는 동안 원자핵과 충돌하여 에너지를 잃어 최종적으로는 그 물질 분자의 열운동과 평형에 도달한다. 이 상태에서의 중성자의 속도분포는 그 온도에서의 Maxwell의 식으로 나타낸다. 이 상태의 중성자를 열중성자라고 말하며 에너지는 0.025 eV이다. 경수로, 중수로. 가스로는 열중성자에 의한 핵분열을 이용한 원자로이다."
2744,"열처리 (熱處理, Heat Treatment)",금속재료를 융점 이하의 적당한 온도로 가열한 뒤 냉각속도를 가감해서 어떤 성질을 부여하는 조작이다.
2745,"열충격 (熱衝擊, Thermal Shock)",장치에 인가되는 갑작스런 온도변화이다.
2746,열펌프 (Heat Pump),"저온의 유체(공기, 물 등)에서 열을 흡수하여 고온의 장소에 열을 방출하는 장치로 냉동기(Refrigerator)라고도 한다. 냉난방, 건조, 용액의 증발, 농축 등에 이용되며 특히 냉동사이클에 사용되는 동작물질을 냉매(Refrige- rant)라고 한다."
2747,"열평형선도 (熱平衡線圖, Heat Balance Diagram)","증기터빈과 같은 열기관사이클에서 열의 평형관계를 도시한 것으로 열의 출입관계와 함께 작동유체 질량의 평형관계를 나타낸다. 각설비간을 그림 및 선도로 연결하고 구간별 작동유체의 압력, 온도, 유량, 엔탈피 및 발전기 출력 등을 기입하여 작성한다."
2748,"열화(劣化,Deterioration)",부품이나 재료의 품질 등의 전기적 특성이 나빠져 가는 것을 말한다.
2749,"열회수 (熱回收, Heat Recovery)","열기관을 구성하는 어떤 계(또는 사이클)에서 발생한 열량을 다른계(또는 사이클)에 사용하도록 공급한 후 그 배기 또는 응축수의 열량을 본래의 열로 회수하거나, 어떤 계에서 사용후 배출되는 배기 및 배출수의 열량을 유용하게 활용하기 위하여 다른 계에서 회수하는 것이다."
2750,"열효율 (熱效率, Thermal Efficiency)","열사이클에 공급된 열에너지에 대한 일로 전환되는 에너지 비율을 말하며 전환되는 일량에 따라 이론 열효율, 도시 열효율 및 유효 열효율 등으로 표시한다. 증기터빈의 경우 이론 열효율은 단열열낙차 상당에너지가 모두 일로 전환될 때의 이상적 효율을 말하며, 도시열효율은 단열열낙차에 대한 터빈날개에 실제로 전달되는 일에너지 비율이며 유효 열효율은 단열열낙차 대비 실제 돌면서 하는 일량 비율을 의미한다."
2751,염 (鹽),"금속 또는 양성(陽性)인 염기성기와 음성(陰性)인 산기로 이루어지는 화합물을 말한다. 즉 산의 수소를 금속 또는 염기성기로 치환한 것, 염기의 수산기를 산기로 치환한 것, 산과 염기화의 반응에 의해 물과 함께 생성되는 물질 등은 모두 염이다. 다염기산(多鹽基酸) 또는 다산염기(多酸鹽基)에는 치환 또는 중화(中和)가 완전한 정염, 산의 치환이 가능한 수소가 일부 남아 있는 산성염, 염기의 치환이 가능한 수산기가 일부 남아 있는 염기성염이 있다."
2752,염료감응 태양전지 (Dye Sensitized Solar Cell),염료감응 태양전지는 1971년 스위스 연방기술원(EPFL) 화학과의 마이클 그랏젤 교수가 개발. 국내에서는 한국전자통신연구원(ETRI)이 처음으로 10~20㎚ 크기의 산화물 표면에 유기 염료를 흡착해 필름을 만들고 전극화 하는 데 성공. 염료감응 태양전지는 태양빛을 받으면 전기를 생산하는 염료를 이용해 전기를 생산하는 시스템. 값싼 유기 염료와 나노 기술을 이용하여 저렴하면서도 고도의 에너지 효율을 갖도록 개발된 태양전지로 실리콘을 사용하는 기존 태양전지에 비해 제조단가가 3분의 1에서 최대 5분의 1 수준으로 낮출 수 있음. 특히 유리에 활용했을 때 투명하고 다양한 색 구현이 가능하며 가시광선을 투과시킬 수 있어 건물의 유리창이나 자동차 유리에 그대로 붙여 사용할 수도 있음.
2753,"염분계 (鹽分計, Salino Meter/ Salinity Meter)",전기전도도를 측정하여 물증의 염분(Salinity)을 알아내는 장치로서 전기전도도( mhos)와 천분율 염분농도 눈금이 함께 표시되어 있다.
2754,"염소 (鹽素, Chlorine)","원소기호 Cl(원자번호 17, 원자량 35.453), 할로겐원소의 일종으로서 공업용 또는 실험실에서 발생되는 염소는 2원자분자(Cl2)이다. 융점 -101.6℃, 비점 -34.6℃, 임계온도 144℃, 임계압 76.0 atm, 20 ℃, 6.6 atm에서 액화하고, 상온상압하에서는 황녹색 자극성 냄새가 있는 유독한 기체로서 흡입하면 점막을 손상시킨다. 용도로는 산화제, 표백제, 음료수, 소독제, 염료, 의약 및 폭발물제조 등에 사용되며 발전소에서는 해저생물 부착억제를 위하여 냉각수에 사용된다."
2755,"염소처리장치 (鹽素處理裝置, Chlorination Equi- pment)","상·하수도의 소독처리 또는 해수나 하천수를 설비의 냉각목적으로 사용할때 물속에 서식하는 패류, 미생물 등이 설비에 지장을 초래하므로 이를 방지하기 위하여 염소를 주입하는 장치이다."
2756,"염화불화탄소(Chloro-Fluoro-Carbon,CFC)","교토의정서에서 규정하고 있는 온실가스중의 하나 참고 : 우주의 자외선으로부터 지구를 보호해주는 성층권 오존층을 파괴하는 물질. 일명 프레온 가스로 불리며, 냉장고, 에어콘의 냉매, 스프레이, 일회용 용기의 발포제, 전자제품의 기름때를 빼는 세정제 등으로 쓰임. "
2757,"영구기관 (永久機關, Perpetual Mobile)","영구히 일을 계속할 수 있는 가공의 동력기관으로 에너지 공급을 받지 않고 일을 계속적으로 할 수 있는 기계를 제1종 영구기관이라 하고 하나의 열원(熱源)으로부터 열(열량)을 흡수하여 이것을 그대로 외부에 대한 일로 계속적으로 바꾸는 기계를 제2종 영구기관이라 한다. 이 양자를 합쳐서 영구기관이라고 한다. 열역학이 정립되기 전에는 이러한 영구기관, 특히 제2 종영구기관은 가능하다고 생각되어 여러 가지 논의도 있었고 실험도 행해졌으나 이러한 영구기관은 불가능하다는 것이 밝혀졌다."
2758,"영구자석발전기 (永久磁石發電機, Permanent Mag- net Generator(PMG))",계자부분이 영구자석으로 된 발전기이다.
2759,"영업일 (營業日, Business Day)","전력시장에서 전력의 공급과 구매가 이루어지는 거래일과 구분하여 시장규칙대상자 및 전력거래소가 업무를 수행하는 기준일로서 국경일, 공휴일, 일요일, 기타 일반 휴일, 토요일 및 전력거래소의 자체 휴무일을 제외한 날을 의미한다."
2760,예방기능의 원칙 (豫防機能의 原則),인재(人災)의 특징은 천재(天災)와 틀려서 예방하려고 생각하면 그 발생을 미연에 방지할 수 있는 것이다. 따라서 원칙적으로 모든 인적재해는 예방기능이 있다고 할 수 있다. 인적재해는 그것이 일어난 뒤의 대책만을 생각할 것이 아니라 자진해서 그것이 일어나기 전의 대책을 고려하여야 한다. 그러나 실제로 모든 인재를 예방하기란 곤란하다. 이를 위해서는 물적인 면뿐만 아니라 인적인 면에 대해서도 원인을 탐구하여야 한다. 그러나 궁극적으로 인재의 예방기능원칙을 믿고 미연방지를 목표로 해서 추진하여야 한다.
2761,"예방보전 (豫防保全, Preventive Main Tenance)","기업의 생산설비는 때로 돌발적인 고장이나 사고를 일으키는데 이는 생산목표량을 달성하는데 저해의 원인이 된다. 또 이와 같은 고장이나 사고가 일어날 때에 산업재해도 발생한다. 예방보전은 이와 같은 돌발적인 사고와 고장이 발생하지 않도록 정기적으로 점검하고, 되도록 빨리 불량부분을 발견해서 기계 장치를 정비하는 것을 말한다."
2762,"예방안전 (豫防安全, Preventive Safety)","적극적으로 안전을 추진하려면 산업재해를 사전에 예방하는 것이 무엇보다 중요하며, 그러기 위해서는 잠재되어 있는 발생 가능한 재해원인을 미리 제거하는 사전안전조치가 필요하다. 이것이 예방안전이다. 예방보전이라는 유사한 용어가 있는데 이는 설비, 기계가 돌발적인 사고와 고장을 일으켜 생산을 저해하고 생산목표의 달성을 저해하는 것을 방지하기 위해서 정기점검, 불량부분의 조기발견 등으로 설비와 기계를 보전하는 것을 말한다. 이와 같은 돌발적인 사고와 고장시에 산업재해도 발생하기 쉬운 것이다. 재해요인을 사전에 발견하여 배제하는 것을 자율적 노력으로 직장에서 실시하는 것이 예방안전이다."
2763,"예비력/예비율 (豫備力(率), Reserve / Reserve Ratio)","발전기의 불시고장, 예상치 못한 전력수요 증가 등으로 인하여 전력수급의 균형을 유지하지 못할 경우를 대비하여 최대 전력수요를 초과하여 보유하는 공급여유능력(발전력)을 말하며, 공급여유능력을 최대전력수요로 나누어 백분율로 표시한 것을 예비율이라고 한다. 예비력에는 크게 설비예비력과 공급예비력이 있으며, 예비력의 종류 및 예비력 확보량 등은 전력계통의 특성 또는 관련 법령 제도에 따라 정해진다. 예비력의 종류와 예비력으로 확보해야 하는 용량은 다음과 같다. 1. 설비예비력(設備豫備力, Capacity Reserve) 일정시점에서 최대전력수요에 대한 설비용량의 여유분을 말하며, 설비용량에서 1년중 발생한 최대전력수요를 뺀 값을 설비예비력이라 한다. 2. 운영예비력(運營豫備力, Operating Reserve) 예상치 못한 공급차질 또는 수요증가에 대응하기 위해 60분 이내 확보할 수 있는 공급가능 능력을 말하며, 현행 전력시장운영규칙에서는 4,000㎿이상을 운영예비력으로 확보토록 하고 있다. 운영예비력은 주파수조정예비력(1,000㎿이상), 대기예비력(총 1,500㎿이상), 대체예비력(1,500㎿이상)으로 이루어져 있다. 3. 주파수조정예비력(周波數調整豫備力, Frequency Control Reserve) 운전중인 발전기의 출력 여유분으로, 10분이내에 확보할 수 있는 예비력을 말한다. 주파수조정예비력은 계통에 병입된 발전기로서 자동발전제어(AGC) 운전이 가능하거나 주파수조정(Governor Free) 운전을 하는 발전기가 공급원이 되며, 확보용량은 1,000㎿이상이다. 4. 대기예비력(待期豫備力, Standing Reserve) 발전기가 불시에 정지되거나 수요예측 오차 등에 대비하여 10～20분 이내에 확보할 수 있는 예비력을 말하며, 확보용량은 총 1,500㎿이다. 대기예비력은 가동중인 발전기의 출력 여유용량 등으로 확보할 수 있는 운전상태 예비력 500㎿이상과 수력, 양수발전기 등 정지상태의 발전기에서 확보할 수 있는 정지상태 예비력(1,000㎿)로 구분할 수 있다."
2764,"예비설비 (豫備設備, Stand-By Facility)",항상 사용되는 것은 아니나 사용설비 대신 또는 상용설비의 보조로 이용되는 설비이다.
2765,"예비시험 (豫備試驗, Preliminary Test)","시험하고자 하는 Plant, 계측기, 인원 등이 시험하기에 적합한 상태에 있는지 여부를 확인하기 위해 본시험 전에 수행하는 시험으로 각 계측기 동작상태 점검 및 시험요원의 교육, 운전상태의 점검 및 조정, 성능의 사전점검, 설비상 미비점 노출 시정, 터빈 Valve Point 결정, Cycle Isolation 점검 시험용계측기와 기존계측기간의 기록치 비교검토를 위해 실시된다."
2766,"예비여자기스위칭시험 (豫備勵磁幾스위칭試驗, Spare Exciter Change-Over Test)",예비 여자기가 언제라도 사용 가능하도록 이상없이 동작하고 있는지 여부를 확인하기 위하여 상용여자기로부터 예비여자기로 스위치를 절체하여 그 동작상태를 확인하는 시험이다.
2767,"예비제어계 (豫備制御計, Stand-By Control Sys- tem)",제어계통에 고장이 생겼을 경우 그것을 대신하여 제어할 수 있는 제어시스템이다.
2768,"예상성능곡선 (豫想性能曲線, Predicted Perform- ance Curve)",설비 또는 기기의 예측되는 성능을 곡선으로 표시한 그림이다.
2769,"예선회/일차선회 (豫旋回, 一次旋回, Prerotation, Prewhirl)",임펠러에 유입된 액체가 임펠러 직전에서 가지는 선회운동이다.
2770,"예열 (豫熱, Prewarming/Warming)",1. 터짐 발생이나 열영향부의 경화를 방지하기 위하여 용접 또는 가스절단 및 기기의 기동에 앞서 모재를 가열하는 것2. 기동전에 기기나 배관을 따뜻하게 하여 과대한 열응력이나 불균등 팽창을 방지하는 것으로 터빈의 경우 보통 2∼3rpm으로 회전시키면서 소량의 증기를 조금씩 공급하여 로터의 굽힘을 제거한 후 Rolling 한다.
2771,"예열관 (豫熱管, Warming Pipe)",증기 등으로 기기 및 배관을 예열시키는데 사용하는 관이다.
2772,"예열장치 (豫熱裝置, Warming Apparatus)",정지 중인 예비 급수펌프의 급속 기동에 대비하여 펌프 케이싱을 항시 적당한 온도로 유지하기 위한 장치이다.
2773,"예열증기가압밸브 (豫熱蒸氣加壓밸브, Heating Steam Pressurizing Valve(HSPV))",초임계압 발전소에서 터빈 리셋 혹은 트립 상태에서 20kg/㎠ 보조증기로 고압터빈 로터 예열시 사용되는 밸브이다. HSPV를 닫아야 비로소 로터예열 모드가 종료되는 것이다.
2774,오니,산업공단 폐수종말 처리장 및 도시 하수처리장에서 배출되는 찌꺼기 물질로서 슬러지라고도 불림
2775,오동작/오부동작 (誤動作/誤不動作),"계전기가 동작하지 말아야 할 경우에 동작한 것이 오동작이다. 즉 A지점 에 사고(고장)가 발생한 경우, a, b 계전기를 제외한 다른 계전기들(c, d, e, f, g, h)이 동작했다면 이들 c, d, e, f, g, h 계전기의 동작은 오동작이고 계전기가 동작하여야 할 경우에 동작하지 않는 것이 오부동작이다. 즉 계통에서 A지점에 사고가 발생했다면 a, b의 계전기가 동작해야 하는데, 어떤 원인으로 a, b의 계전기가 동작하지 않았다면 이 때를 오부동작이라 한다."
2776,오라클(Oracle),미국 오라클사의 관계형 데이터베이스 관리 시스템(RDBMS)의 이름. 유닉스 환경에서 사용되는 RDBMS로는 현재 가장 널리 사용되는 대표적인 제품의 하나이다. 검색이나 업데이트용 언어로는 국제표준화기구(ISO)에서 표준화한 구조화 조회 언어(SQL)가 표준으로 되어 있다.
2777,오리피스 (Orifice),유체를 분출시키는 구멍이며 이것을 이용하여 기체나 액체의 유량을 측정한다. 교축기구중 가격이 가장 싸고 설치 및 분리가 용이하고 유량계수 결정이 용이하며 마모나 늘어짐이 적으며 Scale이나 부유물의 오염이 적다. 그러나 심한 Head Loss가 발생하며 Pipe Line에 Flange가 필요하다는 단점이 있다.
2778,오버레이(overlay),"하나의 프로그램을 몇 개의 영역으로 분할하여 보조 기억 장치에 수용하고, 처리의 흐름에 필요한 영역을 주기억 장치에 차례로 불러내어 실행하는 방식. 각 영역을 호출하는 루트 영역은 늘 주기억 장치에 존재한다. 프로그램이 커서 주기억 장치에 수용할 수 없을 때 효과적인 방법이다."
2779,"오버슛 (오버슛, Overshoot/Total Overshoot)","스텝 응답에 있어서 출력이 최종값을 넘은 다음, 최초로 취하는 최대값과 최종값과의 간격이다."
2780,"오버홀/연차보수공사/계획예방정비공사 (오버홀/年次補修工事/計劃豫防整備工事, Overhaul/Planned Outage)",기계를 분해하여 정밀점검하는 정비행위. 발전소에서 매년 시행하는 모든기기의 분해점검 및 정비작업이다.
2781,"오션(Open allianCE for iot stANdard,OCEAN)","미래창조과학부와 전자부품연구원(KETI)이 주도하는 국제 표준 기반 사물 인터넷(IoT: Internet of Things) 오픈 소스 연합체.사물 인터넷(IoT) 국제 표준인 원엠투엠(oneM2M)을 기반으로 개발된 오픈 소스와 소프트웨어를 공유하도록 함으로써 사물인터넷 기업들 간의 협업을 도모하고 관련 산업을 활성화하는 것을 목표로 한다. 2014년 12월에 결성되었으며, 케이티(KT), 한국전자통신연구원(ETRI), 그리고 중국의 화웨이(Huawei) 등 국내외 200여 업체가 회원으로 활동한다. "
2782,"오수펌프 (汚水펌프, Bilge Pump)",1. 각종 오수의 배출용 펌프.2. 배의 낮은 부분에 고인 물을 바깥으로 배출시키는 펌프이다.
2783,"오수피트 (汚水피트, Bilge Pit)",각종 오수를 모아 흘려보내는 저장소이다.
2784,오실로스코프 (Oscilloscope),"브라운관을 사용하여 파형, 전압, 전류 등을 정밀하게 측정하는데 사용되는 계기이다."
2785,"오염도 (汚染度, Pollution Level)","오염물질에 의하여 대기, 수질, 토양 등의 환경이 더러워진 정도. 여러가지 방법으로 측정되는 오염지표를 써서 표현한다."
2786,"오염자부담원칙 (汚染者負擔原則, Polluter Pays Principle)",공해의 원인이 되는 물질을 발생 또는 배출한자는 그 공해로 인하여 발생한 피해를 보상해야 한다는 원칙이다.
2787,오일 쉘(Oil Shale),"해모공암이라고 하며, 역청질의 고분자화합물을 포함한 공암으로 건류에 의해 석유와 같은 성질의 기름이 얻어진다. 미국에 특히 많이 매장되어 있고 세계도처에 비교적 널리 분포되어 있다. 원유회수와 잔해의 처리에 비용이 많이 들기 때문에 실용화되지 않았지만 최근 기술진보와 석유위기 이후의 석유가격 비등으로 인해 주목되고 있다."
2788,"오일공급펌프 (오일供給펌프, Transfer Oil Pump)",오일 저장탱크로부터 메인 오일탱크 등에 윤활유를 이송하는 펌프이다.
2789,"오일냉각기 (오일冷却器, Oil Cooler)","터빈, 발전기, 급수펌프 등의 윤활유를 냉각하는 장치이다."
2790,오일링 (Oil Ring),윤활유를 베어링 면에 공급하기 위하여 사용하는 황동제의 링이다.
2791,오일링베어링유닛 (Oil Ring Bearing Unit),베어링내의 하부에 윤활유를 저장하고 저널에 끼운 오일링의 회전에 의해 기름을 공급하는 방식이다.
2792,오일버너 (Oil Burner),등유나 중유 등 액체 연료를 미립화시켜 연소시키는 버너. 발전용 보일러의 연료유 버너는 주로 건 형식(Gun Type) 버너를 사용하고 있으며 연료유를 미립화 시키는 방식에 따라 다음과 같이 나누어진다. 1. 압력 분무방식 버너(Mechanical Burner) 2. 매체 분무방식 버너(Steam or Air Atomizing Burner) 3. 회전 분무방식 버너(Rotary Burner)
2793,오일샌드(Oil Sand),"원유를 포함한 다공질의 사암으로, 원유가 천연아스팔트화되어 있는 것은 타르샌드라고도 한다. 열처리 또는 기타 방법으로 원유를 추출해 정제하면 보통의 석유에 가까운 것이 얻어진다. 종래 개발비용이 비쌌었기 때문에 그다지 실용화되지 않았었지만 석유위기후 원유가격 급등에 의해 실용화가 추진되었다."
2794,"오일승압펌프 (오일昇壓펌프, Oil Booster Pump)","오일터빈으로 구동되며, 메인오일 펌프에 흡입수두를 공급하는 펌프이다."
2795,"오일윤활압축기 (오일潤滑壓縮機, Oil Lubricated Compressor)",실린너 내부를 오일로 윤활하는 압축기이다.
2796,오일이젝트 (Oil Ejector),압력유 펌프에 공급하는 이젝터이다.
2797,"오일임시저장탱크 (오일臨時貯藏탱크, Batch Oil Tank)",주 오일탱크를 점검할 때 또는 급유할 때 윤활유를 일시 저장하는 탱크이다.
2798,"오일정화기 (오일淨化器, Oil Purifier)","절연유, 터빈 윤활유 등에 함유된 수분, 먼지 등의 불순물을 제거하는 장치. 원심분리형, 여과기형 등이 있다."
2799,오일컨디셔너 (Oil Conditioner),"터빈유의 수분, 불순물 등을 제거하기 위한 자동청정장치로 침전조, 여과조, 저장조로 구분된다. Oil Purifier와 기능은 같으나 구조가 다르다."
