발전용어(한글명),발전용어(한문명_영문명),내용
하이드라진 ,Hydrazine,"N2H4로 표시하며 무색으로 공기중에서 발연하고 강한 환원성을 가진 액체이다. 발전소에서 통상 하이드라진이라 부르며 수처리제로 사용하는 것은 Hydrazine Hydrate(N2H4,H2O)이다. Hydrazine Hydrate는 휘발성 물질이기 때문에 봉일러 수중에는 약간 밖에 용해할 수 없으므로 대부분 증기와 함께 휘발하여 보일러에서 용해고형물 농도를 상승시키는 경우가 없으므로 고압보일러, 관류보일러 등에 널리 사용됨. Hydrazine Hydrate는 탈기기나 드럼에 주입하여서 용존산소를 제거하고 높은 온도에서는 분해되어 Ammonia가 되어 계통수의 PH를 상승시킴. 탈산소반응은 대략 80 이상에서 부터 일어나며, 열분해는 350 ℃ 부근에서 완료된다. Hydrazine Hydrate는 독성이 있으나 시판되고 있는 것은 35%정도로 묽게 한 것이므로 알레르기성의 특이 체질외에는 인체에 해를 끼치지 않는다. "
해머링장치/추타장치,錘打裝置 Rapping Device/Hammering Device,"전기집진장치의 전극표면에 일정 두께로 부착된 분진을 전극 하단의 호퍼로 떨어뜨릴 목적으로 전극에 진동, 충격을 주기 위하여 설치되는 장치로서, 감속구동 모타에 해머가 붙은 축을 연결하여 축의 회전에 의해 충격을 주는 기계식과 솔레노이드를 사용해 자장 내에 해머를 들어 올린 후 떨어뜨려 충격을 주는 전자식이 있다."
핵비등 ,核沸騰 Nucleate Boiling,"액체가 가열될 때 자연대류영역 이후 본격적으로 비등이 진행되는 과정으로서 포화온도에 이른 액체가 가열표면의 비등핵을 중심으로 기포를 형성, 급속히 액체 속으로 흘러 들어가고 가열면에 새로운 기포를 다시 발생시키는 과정을 되풀이 하게 된다. 열 전달률이 가장 좋은 보일러에서의 이상적인 증기발생 과정이며, 핵 비등 상태에서 유량이 적어지거나 열부하가 높아지면 막 비등 과정으로 진행된다."
행정 ,行程 Stroke,왕복동 공기압축기 내연기관에서 피스톤이 실린더내 길이를 따라 끝에서 끝까지 움직인 거리이다.
혼소,"混燒, Multi-Fuel Firing",두종류 이상의 연료를 동시에 연소시키는 것으로 보통 무연탄과 중유 또는 LNG와 중유를 함께 사용한다.
혼소율,"混燒率, Mixed Fuel Burning Ratio/ Proportion of Mixed Fuel",2종 이상의 연료를 사용하는 보일러에서 한종류의 연료가 차지하는 비유를 말하며 중량비와 열량비가 있으나 통상 열량혼소율을 말한다. Bunker-C와 무연탄을 혼소하는 발전소에서 무연탄 혼소율 50%라함은 총보일러 입열중 무연탄이 차지한 열량비가 50%임을 말한다. MR=(석탄량X석탄열량)/ [(중유사용량X중유발열량)+(석탄사용량X석탄발열량)]
화염검출기 ,火焰檢出器 Flame Detector/Flame Scanner,"버너의 연소상태를 검출하는 기기로서 화염의 밝기를 전기적인 신호로 변환시켜 연소상태를 제어실에 지시하고, 연소상태가 불량한 버너는 소화시키는 신호를 발생시키는 장치이다. 화염검출 방식에는 자외선식, 가시광선식, 적외선식 플리커(Flicker)식등이 있으며 검출렌즈가 연소실내에 있으므로 과열을 방지하기 위해 반드시 냉각용 공기를 공급하여야 한다."
화염전파관 ,火炎轉派管 Cross Fire Tube,가스터빈 기동후 점화시 점화 플러그가 있는 연소기의 화염이 다른 연소기로 전파되도록 연소기 사이를 연결한 관이다.
화학세정,化學洗淨 Chemical Cleaning,"보일러는 장시간 운전하게 되면 스케일이 생성되어 열효율이 저하하고 심할 경우에는 과열에 의한 파열사고가 발생할 수도 있으므로 이를 방지하기 위하여 화학약품을 사용하여 모재 금속의 손상없이 스케일을 제거하는 것을 말하며 세정약품에 따라 산세정 (무기산, 유기산),알카리세정으로 구분한다."
회융점,灰融點 Ash Fusion Temperature,Melting Point of Ash. 석탄회의 시료가 용융하는 온도를 말함. 측정방법은 석탄시료를 회화하여 시험추를 만들고 소정의 전기로에서 규정의 조건으로 연속적으로 가열하여 시험수의 형상에 특정한 변화가 일어날 때의 온도로 측정되며 다음과 같음. 1.최초 변형점(IT):시험추의 꼭대기가 변형을 일으키는 온도 2.반상구점·융점(HT):시험추가 녹아서 그 높이가 폭의 1/2정도의 반구가 될 때의 온도 3.연화점(ST):시험추가 녹아서 그 높이가 폭과 같게 될 때의 온도 4.용류점(FT):용융물이 지지대에 흘러 내려 1/6인치 이하의 높이로 될 때의 온도이다.
회전자 ,回轉子 Rotor,회전 전기기기의 회전부분 2.터빈의 경우 유입된 증기에 의하여 회전하는 부분으로 Disc Rotor와 Drum Rotor로 대별됨. Disc형은 각 단마다 원판의 Disc가 있으며 그 외주에 회전날개를 끼게 되는데 주로 충동단에 쓰인다. Drum형은 원통상의 외주에 회전날개가 끼워져 있으며 주로 반동터빈에 쓰인다.
회처리장,灰處理場 Ash Pond,물에 의해 이송된 저회(Bottom Ash) 및 비회(Fly Ash)를 매립하는 장소이다.
